seed,baseline_nodes,dn_nodes,cr_nodes
1,574,100,5.74
2,602,66,9.121212121212121
3,574,80,7.175
4,616,100,6.16
5,630,63,10.0
6,490,58,8.448275862068966
7,630,63,10.0
8,588,80,7.35
9,560,75,7.466666666666667
10,644,81,7.950617283950617
11,490,76,6.447368421052632
12,574,96,5.979166666666667
13,616,96,6.416666666666667
14,574,59,9.728813559322035
15,588,52,11.307692307692308
16,518,51,10.156862745098039
17,630,116,5.431034482758621
18,602,58,10.379310344827585
19,504,52,9.692307692307692
20,616,63,9.777777777777779
21,616,79,7.7974683544303796
22,616,62,9.935483870967742
23,588,62,9.483870967741936
24,616,59,10.440677966101696
25,490,62,7.903225806451613
26,616,100,6.16
27,518,59,8.779661016949152
28,560,66,8.484848484848484
29,546,65,8.4
30,630,65,9.692307692307692
